	pielou_evenness
M1	0.4506274705839474
M10	0.7577067592669148
M11	0.6179797808624434
M12	0.5426150547025904
M13	0.7018637346930049
M14	0.42174762873480415
M15	0.663006321816443
M16	0.39106968097424155
M17	0.5717931788036029
M18	0.7076825544304276
M19	0.567734468522776
M2	0.4786426254027176
M20	0.6291349648866422
M21	0.5711090619753089
M22	0.5864882311215672
M23	0.6400347929656144
M24	0.3990600656162213
M26	0.5000776495804221
M27	0.6081141171319212
M28	0.44716409644185523
M3	0.6009881598052804
M4	0.43462661404967773
M5	0.7457614441287672
M6	0.5451187026488423
M7	0.3578817430961781
M8	0.5081019046947736
M9	0.5382848591390246
